baseline_id,severe_shortfall_threshold,minimum_consecutive_days,recovery_days,training_start_date,training_end_date,training_days,background_episode_count,background_episodes_per_year,raw_threshold_days,raw_threshold_day_fraction,episode_active_days,episode_active_day_fraction,mean_episode_duration_days,median_episode_duration_days
doy_weekday_hw15,0.4,5,7,2019-01-01,2023-12-31,1826,2,0.4000465498357065,230,0.12595837897042717,107,0.05859802847754655,53.5,53.5
doy_weekday_hw15,0.5,2,3,2019-01-01,2023-12-31,1826,25,5.000581872946331,149,0.08159912376779847,108,0.05914567360350493,4.32,3.0
doy_weekday_hw15,0.5,2,5,2019-01-01,2023-12-31,1826,17,3.400395673603505,149,0.08159912376779847,172,0.09419496166484119,10.117647058823529,7.0
doy_weekday_hw15,0.5,2,7,2019-01-01,2023-12-31,1826,11,2.2002560240963858,149,0.08159912376779847,220,0.12048192771084337,20.0,12.0
doy_weekday_hw15,0.5,3,3,2019-01-01,2023-12-31,1826,12,2.400279299014239,149,0.08159912376779847,68,0.03723986856516977,5.666666666666667,3.0
doy_weekday_hw15,0.5,3,5,2019-01-01,2023-12-31,1826,9,1.8002094742606791,149,0.08159912376779847,134,0.07338444687842278,14.88888888888889,13.0
doy_weekday_hw15,0.5,3,7,2019-01-01,2023-12-31,1826,6,1.2001396495071195,149,0.08159912376779847,184,0.10076670317634173,30.666666666666668,27.0
doy_weekday_hw15,0.5,5,3,2019-01-01,2023-12-31,1826,2,0.4000465498357065,149,0.08159912376779847,20,0.01095290251916758,10.0,10.0
doy_weekday_hw15,0.5,5,5,2019-01-01,2023-12-31,1826,2,0.4000465498357065,149,0.08159912376779847,28,0.01533406352683461,14.0,14.0
doy_weekday_hw15,0.5,5,7,2019-01-01,2023-12-31,1826,2,0.4000465498357065,149,0.08159912376779847,57,0.0312157721796276,28.5,28.5
doy_weekday_hw15,0.7,2,3,2019-01-01,2023-12-31,1826,5,1.0001163745892663,39,0.02135815991237678,17,0.009309967141292442,3.4,3.0
doy_weekday_hw15,0.7,2,5,2019-01-01,2023-12-31,1826,5,1.0001163745892663,39,0.02135815991237678,17,0.009309967141292442,3.4,3.0
doy_weekday_hw15,0.7,2,7,2019-01-01,2023-12-31,1826,5,1.0001163745892663,39,0.02135815991237678,17,0.009309967141292442,3.4,3.0
doy_weekday_hw15,0.7,3,3,2019-01-01,2023-12-31,1826,2,0.4000465498357065,39,0.02135815991237678,8,0.004381161007667032,4.0,4.0
doy_weekday_hw15,0.7,3,5,2019-01-01,2023-12-31,1826,2,0.4000465498357065,39,0.02135815991237678,8,0.004381161007667032,4.0,4.0
doy_weekday_hw15,0.7,3,7,2019-01-01,2023-12-31,1826,2,0.4000465498357065,39,0.02135815991237678,8,0.004381161007667032,4.0,4.0
doy_weekday_hw15,0.7,5,3,2019-01-01,2023-12-31,1826,0,0.0,39,0.02135815991237678,0,0.0,0.0,0.0
doy_weekday_hw15,0.7,5,5,2019-01-01,2023-12-31,1826,0,0.0,39,0.02135815991237678,0,0.0,0.0,0.0
doy_weekday_hw15,0.7,5,7,2019-01-01,2023-12-31,1826,0,0.0,39,0.02135815991237678,0,0.0,0.0,0.0
doy_weekday_hw15,0.9,2,3,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw15,0.9,2,5,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw15,0.9,2,7,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw15,0.9,3,3,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw15,0.9,3,5,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw15,0.9,3,7,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw15,0.9,5,3,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw15,0.9,5,5,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw15,0.9,5,7,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw30,0.2,2,3,2019-01-01,2023-12-31,1826,54,10.801256845564074,496,0.27163198247535597,441,0.2415115005476451,8.166666666666666,4.5
doy_weekday_hw30,0.2,2,5,2019-01-01,2023-12-31,1826,31,6.20072152245345,496,0.27163198247535597,592,0.32420591456736036,19.096774193548388,7.0
doy_weekday_hw30,0.2,2,7,2019-01-01,2023-12-31,1826,21,4.200488773274918,496,0.27163198247535597,716,0.39211391018619934,34.095238095238095,12.0
doy_weekday_hw30,0.2,3,3,2019-01-01,2023-12-31,1826,25,5.000581872946331,496,0.27163198247535597,322,0.17634173055859803,12.88,6.0
doy_weekday_hw30,0.2,3,5,2019-01-01,2023-12-31,1826,17,3.400395673603505,496,0.27163198247535597,450,0.24644030668127054,26.470588235294116,9.0
doy_weekday_hw30,0.2,3,7,2019-01-01,2023-12-31,1826,11,2.2002560240963858,496,0.27163198247535597,521,0.2853231106243154,47.36363636363637,38.0
doy_weekday_hw30,0.2,5,3,2019-01-01,2023-12-31,1826,10,2.0002327491785326,496,0.27163198247535597,220,0.12048192771084337,22.0,20.0
doy_weekday_hw30,0.2,5,5,2019-01-01,2023-12-31,1826,7,1.4001629244249727,496,0.27163198247535597,341,0.18674698795180722,48.714285714285715,31.0
doy_weekday_hw30,0.2,5,7,2019-01-01,2023-12-31,1826,5,1.0001163745892663,496,0.27163198247535597,364,0.19934282584884994,72.8,64.0
doy_weekday_hw30,0.3,2,3,2019-01-01,2023-12-31,1826,28,5.600651697699891,329,0.1801752464403067,268,0.14676889375684557,9.571428571428571,5.5
doy_weekday_hw30,0.3,2,5,2019-01-01,2023-12-31,1826,19,3.8004422234392115,329,0.1801752464403067,358,0.19605695509309967,18.842105263157894,9.0
doy_weekday_hw30,0.3,2,7,2019-01-01,2023-12-31,1826,12,2.400279299014239,329,0.1801752464403067,455,0.24917853231106243,37.916666666666664,25.0
doy_weekday_hw30,0.3,3,3,2019-01-01,2023-12-31,1826,20,4.000465498357065,329,0.1801752464403067,227,0.12431544359255203,11.35,7.0
doy_weekday_hw30,0.3,3,5,2019-01-01,2023-12-31,1826,12,2.400279299014239,329,0.1801752464403067,300,0.16429353778751368,25.0,15.0
doy_weekday_hw30,0.3,3,7,2019-01-01,2023-12-31,1826,9,1.8002094742606791,329,0.1801752464403067,400,0.21905805038335158,44.44444444444444,29.0
doy_weekday_hw30,0.3,5,3,2019-01-01,2023-12-31,1826,8,1.600186199342826,329,0.1801752464403067,109,0.059693318729463304,13.625,10.0
doy_weekday_hw30,0.3,5,5,2019-01-01,2023-12-31,1826,6,1.2001396495071195,329,0.1801752464403067,204,0.11171960569550932,34.0,24.5
doy_weekday_hw30,0.3,5,7,2019-01-01,2023-12-31,1826,5,1.0001163745892663,329,0.1801752464403067,268,0.14676889375684557,53.6,57.0
doy_weekday_hw30,0.4,2,3,2019-01-01,2023-12-31,1826,26,5.200605147864184,232,0.12705366922234393,194,0.10624315443592552,7.461538461538462,4.5
doy_weekday_hw30,0.4,2,5,2019-01-01,2023-12-31,1826,18,3.6004189485213582,232,0.12705366922234393,249,0.13636363636363635,13.833333333333334,8.0
doy_weekday_hw30,0.4,2,7,2019-01-01,2023-12-31,1826,12,2.400279299014239,232,0.12705366922234393,294,0.16100766703176342,24.5,11.0
doy_weekday_hw30,0.4,3,3,2019-01-01,2023-12-31,1826,18,3.6004189485213582,232,0.12705366922234393,151,0.08269441401971522,8.38888888888889,5.5
doy_weekday_hw30,0.4,3,5,2019-01-01,2023-12-31,1826,13,2.600302573932092,232,0.12705366922234393,204,0.11171960569550932,15.692307692307692,10.0
doy_weekday_hw30,0.4,3,7,2019-01-01,2023-12-31,1826,9,1.8002094742606791,232,0.12705366922234393,276,0.1511500547645126,30.666666666666668,19.0
doy_weekday_hw30,0.4,5,3,2019-01-01,2023-12-31,1826,4,0.800093099671413,232,0.12705366922234393,69,0.03778751369112815,17.25,18.5
doy_weekday_hw30,0.4,5,5,2019-01-01,2023-12-31,1826,4,0.800093099671413,232,0.12705366922234393,95,0.052026286966046005,23.75,23.5
doy_weekday_hw30,0.4,5,7,2019-01-01,2023-12-31,1826,4,0.800093099671413,232,0.12705366922234393,156,0.08543263964950712,39.0,29.0
doy_weekday_hw30,0.5,2,3,2019-01-01,2023-12-31,1826,25,5.000581872946331,150,0.08214676889375684,111,0.06078860898138007,4.44,2.0
doy_weekday_hw30,0.5,2,5,2019-01-01,2023-12-31,1826,17,3.400395673603505,150,0.08214676889375684,170,0.09309967141292443,10.0,7.0
doy_weekday_hw30,0.5,2,7,2019-01-01,2023-12-31,1826,11,2.2002560240963858,150,0.08214676889375684,218,0.11938663745892661,19.818181818181817,12.0
doy_weekday_hw30,0.5,3,3,2019-01-01,2023-12-31,1826,10,2.0002327491785326,150,0.08214676889375684,67,0.03669222343921139,6.7,4.5
doy_weekday_hw30,0.5,3,5,2019-01-01,2023-12-31,1826,8,1.600186199342826,150,0.08214676889375684,103,0.05640744797371303,12.875,11.5
doy_weekday_hw30,0.5,3,7,2019-01-01,2023-12-31,1826,6,1.2001396495071195,150,0.08214676889375684,148,0.08105147864184009,24.666666666666668,18.0
doy_weekday_hw30,0.5,5,3,2019-01-01,2023-12-31,1826,2,0.4000465498357065,150,0.08214676889375684,20,0.01095290251916758,10.0,10.0
doy_weekday_hw30,0.5,5,5,2019-01-01,2023-12-31,1826,2,0.4000465498357065,150,0.08214676889375684,28,0.01533406352683461,14.0,14.0
doy_weekday_hw30,0.5,5,7,2019-01-01,2023-12-31,1826,2,0.4000465498357065,150,0.08214676889375684,57,0.0312157721796276,28.5,28.5
doy_weekday_hw30,0.7,2,3,2019-01-01,2023-12-31,1826,5,1.0001163745892663,40,0.02190580503833516,17,0.009309967141292442,3.4,3.0
doy_weekday_hw30,0.7,2,5,2019-01-01,2023-12-31,1826,5,1.0001163745892663,40,0.02190580503833516,17,0.009309967141292442,3.4,3.0
doy_weekday_hw30,0.7,2,7,2019-01-01,2023-12-31,1826,5,1.0001163745892663,40,0.02190580503833516,17,0.009309967141292442,3.4,3.0
doy_weekday_hw30,0.7,3,3,2019-01-01,2023-12-31,1826,2,0.4000465498357065,40,0.02190580503833516,8,0.004381161007667032,4.0,4.0
doy_weekday_hw30,0.7,3,5,2019-01-01,2023-12-31,1826,2,0.4000465498357065,40,0.02190580503833516,8,0.004381161007667032,4.0,4.0
doy_weekday_hw30,0.7,3,7,2019-01-01,2023-12-31,1826,2,0.4000465498357065,40,0.02190580503833516,8,0.004381161007667032,4.0,4.0
doy_weekday_hw30,0.7,5,3,2019-01-01,2023-12-31,1826,0,0.0,40,0.02190580503833516,0,0.0,0.0,0.0
doy_weekday_hw30,0.7,5,5,2019-01-01,2023-12-31,1826,0,0.0,40,0.02190580503833516,0,0.0,0.0,0.0
doy_weekday_hw30,0.7,5,7,2019-01-01,2023-12-31,1826,0,0.0,40,0.02190580503833516,0,0.0,0.0,0.0
doy_weekday_hw30,0.9,2,3,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw30,0.9,2,5,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw30,0.9,2,7,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw30,0.9,3,3,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw30,0.9,3,5,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw30,0.9,3,7,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw30,0.9,5,3,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw30,0.9,5,5,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw30,0.9,5,7,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
month_weekday_median,0.2,2,3,2019-01-01,2023-12-31,1826,48,9.601117196056956,462,0.25301204819277107,390,0.21358159912376778,8.125,4.5
month_weekday_median,0.2,2,5,2019-01-01,2023-12-31,1826,32,6.400744797371304,462,0.25301204819277107,527,0.28860898138006574,16.46875,9.5
month_weekday_median,0.2,2,7,2019-01-01,2023-12-31,1826,21,4.200488773274918,462,0.25301204819277107,650,0.3559693318729463,30.952380952380953,10.0
month_weekday_median,0.2,3,3,2019-01-01,2023-12-31,1826,24,4.800558598028478,462,0.25301204819277107,287,0.15717415115005476,11.958333333333334,8.0
month_weekday_median,0.2,3,5,2019-01-01,2023-12-31,1826,16,3.200372398685652,462,0.25301204819277107,398,0.21796276013143484,24.875,12.0
month_weekday_median,0.2,3,7,2019-01-01,2023-12-31,1826,10,2.0002327491785326,462,0.25301204819277107,493,0.26998904709748084,49.3,42.0
month_weekday_median,0.2,5,3,2019-01-01,2023-12-31,1826,10,2.0002327491785326,462,0.25301204819277107,183,0.10021905805038335,18.3,17.5
month_weekday_median,0.2,5,5,2019-01-01,2023-12-31,1826,8,1.600186199342826,462,0.25301204819277107,331,0.18127053669222343,41.375,25.0
month_weekday_median,0.2,5,7,2019-01-01,2023-12-31,1826,6,1.2001396495071195,462,0.25301204819277107,356,0.1949616648411829,59.333333333333336,56.5
month_weekday_median,0.3,2,3,2019-01-01,2023-12-31,1826,29,5.800674972617744,319,0.1746987951807229,258,0.14129244249726178,8.89655172413793,5.0
month_weekday_median,0.3,2,5,2019-01-01,2023-12-31,1826,21,4.200488773274918,319,0.1746987951807229,338,0.1851040525739321,16.095238095238095,10.0
month_weekday_median,0.3,2,7,2019-01-01,2023-12-31,1826,14,2.8003258488499454,319,0.1746987951807229,402,0.22015334063526834,28.714285714285715,16.0
month_weekday_median,0.3,3,3,2019-01-01,2023-12-31,1826,17,3.400395673603505,319,0.1746987951807229,218,0.11938663745892661,12.823529411764707,7.0
