baseline_id,severe_shortfall_threshold,minimum_consecutive_days,recovery_days,total_episode_count,test_episode_count,target_anchor_date,target_episode_detected,target_onset_date,target_end_date,target_onset_offset_days,target_duration_days,target_severe_days,target_maximum_shortfall_fraction,target_cumulative_capacity_loss
doy_weekday_hw30,0.7,3,7,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,181,1.0,457870020.1428722
doy_weekday_hw30,0.7,5,3,2,2,2026-03-01,True,2026-03-01,2026-06-22,3,114,114,1.0,273032927.60719794
doy_weekday_hw30,0.7,5,5,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,181,1.0,457870020.1428722
doy_weekday_hw30,0.7,5,7,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,181,1.0,457870020.1428722
doy_weekday_hw30,0.9,2,3,2,2,2026-03-01,True,2026-03-01,2026-06-17,3,109,99,1.0,261755088.05535674
doy_weekday_hw30,0.9,2,5,2,2,2026-03-01,True,2026-03-01,2026-06-21,3,113,100,1.0,270780233.60719794
doy_weekday_hw30,0.9,2,7,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,162,1.0,457870020.1428722
doy_weekday_hw30,0.9,3,3,2,2,2026-03-01,True,2026-03-01,2026-06-17,3,109,99,1.0,261755088.05535674
doy_weekday_hw30,0.9,3,5,2,2,2026-03-01,True,2026-03-01,2026-06-21,3,113,100,1.0,270780233.60719794
doy_weekday_hw30,0.9,3,7,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,162,1.0,457870020.1428722
doy_weekday_hw30,0.9,5,3,2,2,2026-03-01,True,2026-03-01,2026-06-17,3,109,99,1.0,261755088.05535674
doy_weekday_hw30,0.9,5,5,2,2,2026-03-01,True,2026-03-01,2026-06-21,3,113,100,1.0,270780233.60719794
doy_weekday_hw30,0.9,5,7,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,162,1.0,457870020.1428722
month_weekday_median,0.2,2,3,79,3,2026-03-01,True,2026-02-26,2026-09-06,0,193,192,1.0,454726733.0
month_weekday_median,0.2,2,5,53,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,192,1.0,454726733.0
month_weekday_median,0.2,2,7,36,0,2026-03-01,True,2025-11-16,2026-09-06,-102,295,247,1.0,504505938.0
month_weekday_median,0.2,3,3,40,3,2026-03-01,True,2026-03-01,2026-09-06,3,190,190,1.0,452327216.0
month_weekday_median,0.2,3,5,27,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,190,1.0,452327216.0
month_weekday_median,0.2,3,7,19,0,2026-03-01,True,2025-11-16,2026-09-06,-102,295,247,1.0,504505938.0
month_weekday_median,0.2,5,3,16,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,190,1.0,452327216.0
month_weekday_median,0.2,5,5,13,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,190,1.0,452327216.0
month_weekday_median,0.2,5,7,10,0,2026-03-01,True,2025-11-21,2026-09-06,-97,290,244,1.0,502354508.5
month_weekday_median,0.3,2,3,52,4,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,454726733.0
month_weekday_median,0.3,2,5,37,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,454726733.0
month_weekday_median,0.3,2,7,29,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,454726733.0
month_weekday_median,0.3,3,3,28,3,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.3,3,5,21,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.3,3,7,16,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.3,5,3,10,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.3,5,5,9,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.3,5,7,9,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.4,2,3,39,3,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,454726733.0
month_weekday_median,0.4,2,5,28,2,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,454726733.0
